Rep,Timestamp (s),Position (m),Velocity (m/s),Acceleration (m/s²),Force (N),Power (W),Stroke Phase
1,0.000,0.000,0.00,0.00,0.0,0.0,Glide
1,0.050,0.003,0.12,2.40,72.0,8.6,Catch
1,0.100,0.012,0.36,4.80,144.0,51.8,Catch
1,0.150,0.030,0.72,7.20,216.0,155.5,Pull
1,0.200,0.062,1.20,9.60,288.0,345.6,Pull
1,0.250,0.110,1.68,9.60,288.0,483.8,Pull
1,0.300,0.172,2.00,6.40,192.0,384.0,Push
1,0.350,0.244,2.08,1.60,48.0,99.8,Push
1,0.400,0.316,1.92,−3.20,−96.0,−184.3,Recovery
1,0.450,0.380,1.60,−6.40,−192.0,−307.2,Recovery
1,0.500,0.432,1.20,−8.00,−240.0,−288.0,Recovery
1,0.550,0.472,0.88,−6.40,−192.0,−168.96,Glide
1,0.600,0.504,0.64,−4.80,−144.0,−92.2,Glide
2,0.650,0.528,0.52,−2.40,−72.0,−37.4,Glide
2,0.700,0.548,0.48,0.00,0.0,0.0,Catch
2,0.750,0.576,0.68,4.00,120.0,81.6,Catch
2,0.800,0.618,1.04,7.20,216.0,224.6,Pull
2,0.850,0.676,1.48,8.80,264.0,390.7,Pull
2,0.900,0.752,1.84,7.20,216.0,397.4,Pull
2,0.950,0.840,2.04,4.00,120.0,244.8,Push
2,1.000,0.932,2.00,−0.80,−24.0,−48.0,Push
2,1.050,1.020,1.80,−4.00,−120.0,−216.0,Recovery
2,1.100,1.100,1.48,−6.40,−192.0,−284.2,Recovery
2,1.150,1.168,1.16,−6.40,−192.0,−222.7,Recovery
2,1.200,1.224,0.92,−4.80,−144.0,−132.5,Glide
2,1.250,1.268,0.72,−4.00,−120.0,−86.4,Glide
